osm_id,code,fclass,name,xcoord,ycoord
"507191810","5621",bus_stop,,76.9282948,43.2374065
"507191818","5621",bus_stop,Ул. Сатпаева,76.927797,43.2369313
"507191826","5621",bus_stop,Таранчинская,76.9294703,43.2410542
"507191853","5621",bus_stop,,76.9306294,43.2343362
"533366782","5621",bus_stop,Жандосов,76.9047374,43.2347082
"533409232","5621",bus_stop,Ауэзова,76.9072782,43.2348838
"533460788","5621",bus_stop,Нацбанк,76.9177003,43.2365864
"533460792","5621",bus_stop,Нацбанк,76.9191143,43.2365251
"1001110345","5621",bus_stop,Проспект Гагарина,76.8984585,43.2315461
"1001730361","5621",bus_stop,,76.8988976,43.2394181
"1001730363","5621",bus_stop,,76.8937906,43.2390664
"1007956563","5621",bus_stop,,76.888405,43.2342856
"1007956582","5621",bus_stop,Торговый дом Дана,76.888456,43.2345045
"1007956589","5621",bus_stop,Сатпаева,76.8899937,43.236157
"1007956596","5621",bus_stop,Сатпаева,76.8903496,43.2352842
"1007972112","5621",bus_stop,Розыбакиева,76.8903945,43.2383371
"1007972115","5621",bus_stop,Абая,76.8898009,43.239264
"1007972118","5621",bus_stop,Розыбакиева,76.8891895,43.2387868
"1008013840","5621",bus_stop,,76.9136366,43.2399063
"1008013845","5621",bus_stop,,76.9106218,43.2402424
"1008013850","5621",bus_stop,Ауэзова,76.9032725,43.2396874
"1055991730","5621",bus_stop,пр. Сейфуллина,76.9231874,43.2403208
"1055991734","5621",bus_stop,пр. Сейфуллина,76.9333756,43.2415915
"1055992864","5621",bus_stop,,76.9216699,43.2408582
"1078775945","5621",bus_stop,Наурызбай батыра,76.9383544,43.2416357
"1314568215","5621",bus_stop,,76.8742458,43.2097729
"1314568216","5621",bus_stop,,76.8702225,43.2111178
"1314568234","5621",bus_stop,Ул. Щепкина,76.8697826,43.2114619
"1382554367","5622",bus_station,Мост,76.9770911,43.2044694
"1382556809","5621",bus_stop,Достык-Жолдасбекова,76.9586288,43.234053
"1382576965","5621",bus_stop,Центральный стадион,76.9228882,43.2405915
"1456453417","5621",bus_stop,,76.90415,43.235523
"1508708819","5621",bus_stop,,76.9343408,43.2422421
"1508736429","5621",bus_stop,улица Байтурсынова,76.9266697,43.2411636
"1623868921","5621",bus_stop,Розыбакиева,76.8928996,43.2249198
"1628518230","5621",bus_stop,,76.8971991,43.2195061
"1651290447","5621",bus_stop,Магазин,76.8990468,43.2017408
"1651290448","5621",bus_stop,Магазин,76.8993152,43.2030446
"1674639904","5621",bus_stop,КазНУ,76.9233834,43.2268649
"1727446533","5621",bus_stop,Гагарина/Тимирязева,76.8964033,43.2243727
"1727446547","5621",bus_stop,Тимирязева,76.8916451,43.2253773
"1727446548","5621",bus_stop,Розыбакиева,76.8934851,43.2250466
"1741108476","5621",bus_stop,,76.8825316,43.238072
"1741108478","5621",bus_stop,,76.8832417,43.2378254
"1748254216","5621",bus_stop,,76.903923,43.2390392
"1748254322","5621",bus_stop,Гагарина,76.8958846,43.23872
"1756337268","5621",bus_stop,Жандосова,76.890904,43.2289754
"1756337272","5621",bus_stop,Жандосова,76.8911214,43.2292949
"1780531328","5621",bus_stop,,76.9066048,43.239478
"1843665044","5621",bus_stop,ГЭС-2,76.9134732,43.1135957
"1985674222","5622",bus_station,,76.9522187,43.2136984
"1986350003","5622",bus_station,,76.9515996,43.2162973
"2001335730","5621",bus_stop,5 - ый микрорайон,76.8641433,43.2282251
"2166592808","5621",bus_stop,Алтынсарина\Шаляпина,76.8709961,43.2205454
"2180483515","5621",bus_stop,Торайгырова-Саина,76.8701042,43.2009253
"2180515030","5621",bus_stop,,76.9087549,43.2013662
"2392550937","5621",bus_stop,Софьи,76.8759577,43.2361972
"2446579914","5621",bus_stop,5-я городская больница,76.960877,43.2277129
"2460993194","5621",bus_stop,проспект Аль-Фараби,76.9282124,43.2173247
"2461879472","5621",bus_stop,Наурызбай батыра,76.9391667,43.2380764
"2462439209","5621",bus_stop,Площадь Республики,76.9416711,43.2374588
"2480602368","5621",bus_stop,,76.9668014,43.2133769
"2480602378","5621",bus_stop,,76.9646859,43.2173915
"2480602386","5621",bus_stop,,76.9632605,43.2209813
"2480602388","5621",bus_stop,,76.9632873,43.22181
"2490755975","5621",bus_stop,Абая,76.8897199,43.2379475
"2497758202","5621",bus_stop,Проспект Сейфуллина,76.9425882,43.2269868
"2497758495","5621",bus_stop,Финансовый центр,76.9388779,43.2250648
"2498388083","5621",bus_stop,,76.9456338,43.2282236
"2500308316","5621",bus_stop,Брусиловского,76.8785745,43.233896
"2500308325","5621",bus_stop,Брусиловского,76.8789071,43.233642
"2503479984","5621",bus_stop,Тургут Озала,76.8827836,43.2339187
"2503479986","5621",bus_stop,Тургут Озала,76.8828345,43.2341258
"2504128966","5621",bus_stop,,76.8929265,43.2289185
"2522351049","5601",railway_station,Абая,76.9484213,43.2425131
"2522351050","5601",railway_station,Алатау,76.8976467,43.238576
"2522351052","5601",railway_station,Байконур,76.9289227,43.2413007
"2522351055","5601",railway_station,Театр имени Мухтара Ауэзова,76.9171677,43.2403547
"2527525616","5621",bus_stop,,76.8961189,43.2349385
"2527525621","5621",bus_stop,,76.8957595,43.2350382
"2568901770","5621",bus_stop,,76.9087929,43.2012433
"2577857354","5621",bus_stop,Розыбакиева,76.8891928,43.2386921
"2583230527","5621",bus_stop,Тимирязева,76.8915931,43.2236874
"2591116624","5621",bus_stop,Шевченко,76.8894014,43.2421533
"2593864581","5622",bus_station,"Конечная ""30""",76.8940079,43.1782054
"2593910472","5622",bus_station,,76.9002944,43.1577887
"2594648821","5622",bus_station,"Конечная""316""",76.9027439,43.1458064
"2611866247","5621",bus_stop,Кожабекова,76.8948294,43.2003615
"2611866249","5621",bus_stop,Кожабекова,76.8948578,43.2004842
"2620558075","5621",bus_stop,Сейфуллина,76.9342485,43.2405749
"2620559484","5621",bus_stop,Стадион,76.9266936,43.2375174
"2620561596","5621",bus_stop,Сатпаева/Ауэзова,76.9038206,43.2356613
"2620567290","5621",bus_stop,Горбольница №12,76.9099252,43.2355641
"2620567292","5621",bus_stop,Горбольница №12,76.9106392,43.2362591
"2639444800","5621",bus_stop,мкр Алмагуль,76.8986172,43.2076191
"2639444803","5621",bus_stop,мкр Алмагуль,76.8988049,43.2080851
"2639452933","5621",bus_stop,Басенова,76.8967971,43.2228517
"2657407578","5621",bus_stop,Берегового,76.8645682,43.2179072
"2657407589","5621",bus_stop,10 мкр.,76.866286,43.2189217
"2660797734","5621",bus_stop,КазНУ,76.9232784,43.2268783
"2663817097","5621",bus_stop,Казахское радио,76.9412924,43.2397229
"2664615145","5621",bus_stop,8 мкр.,76.871914,43.2297916
"2664615146","5621",bus_stop,8 мкр.,76.8718489,43.2301956
"2668210836","5621",bus_stop,Басенова,76.8966558,43.2222731
"2694141446","5621",bus_stop,Плодоконсервный комб-т,76.8855062,43.2229631
"2694141452","5621",bus_stop,Плодоконсервный комбинат,76.8855058,43.223294
"2702197402","5621",bus_stop,Наурызбай батыра,76.9390408,43.2378584
"2703805087","5621",bus_stop,Алтынсарина,76.8766422,43.2177052
"2735735264","5621",bus_stop,Әуезов,76.9064839,43.2344496
"2784807014","5621",bus_stop,Ст. метро Алатау,76.8951576,43.2379855
"2784807021","5621",bus_stop,Ст. метро Алатау,76.8949468,43.2380084
"2848224174","5621",bus_stop,Жарокова,76.901011,43.2352334
"2917279368","5621",bus_stop,,76.9504178,43.2338592
"2991103942","5621",bus_stop,,76.8991571,43.2351274
"2991103943","5621",bus_stop,,76.899519,43.2353322
"3198803157","5621",bus_stop,,76.8641472,43.2282689
"3198803761","5621",bus_stop,Алматинка,76.868664,43.2317006
"3423450807","5621",bus_stop,Байтурсынова,76.933773,43.2309406
"3464794517","5621",bus_stop,ТЮЗ,76.8693713,43.2211445
"3464794520","5621",bus_stop,ТЮЗ,76.8691779,43.2213565
"3464799078","5601",railway_station,Москва,76.8673044,43.2304852
"3464799079","5601",railway_station,Сайран,76.8772582,43.2367727
"3504646061","5621",bus_stop,Проспект Гагарина,76.8960529,43.2308653
"3504647763","5621",bus_stop,Школа №22,76.894626,43.2346892
"3504736710","5621",bus_stop,Проспект Гагарина,76.8964813,43.2306225
"3540483774","5621",bus_stop,Площадь Республики,76.9418515,43.239302
"3540483775","5621",bus_stop,Тимирязева,76.939966,43.2342048
"3540483778","5621",bus_stop,Тимирязева,76.9402401,43.2347874
"3811135281","5621",bus_stop,,76.8799101,43.2025747
"3811196199","5621",bus_stop,Вишневского,76.8891355,43.1945307
"3811196200","5621",bus_stop,Аль-Фараби/Навои,76.8866809,43.1948752
"3812220443","5621",bus_stop,,76.8882094,43.1932157
"3812481144","5621",bus_stop,Мкр. Орбита 3,76.8793966,43.2017695
"3818773437","5621",bus_stop,,76.8779386,43.2053935
"3820936619","5621",bus_stop,ГЭС 5,76.9067909,43.1276537
"4067035107","5621",bus_stop,,76.9646151,43.2169076
"4067035108","5621",bus_stop,,76.9620509,43.2250273
"4067035109","5621",bus_stop,,76.9619895,43.2256946
"4215131166","5621",bus_stop,,76.9038334,43.2044875
"4221398389","5622",bus_station,Ormanova Bus Terminal,76.973714,43.2239393
"4276012788","5621",bus_stop,Мега Центр/(Школа),76.8944355,43.2043827
"4276821282","5621",bus_stop,,76.8945005,43.2011878
"4277705172","5621",bus_stop,Киностудия Казахфильм,76.9028211,43.1997208
"4277707103","5621",bus_stop,Киностудия Казахфильм,76.9031829,43.1994719
"4277730785","5621",bus_stop,Мега Центр,76.8940958,43.2024161
"4312823491","5621",bus_stop,Маркова,76.9358228,43.2229765
"4315497144","5621",bus_stop,Саина-Жандосова,76.8646727,43.2086942
"4360827591","5621",bus_stop,Березовского,76.8981426,43.2123375
"4360843492","5621",bus_stop,,76.8976688,43.2157474
"4428057516","5621",bus_stop,,76.8838726,43.1944753
"4482170896","5621",bus_stop,Базарчик,76.9044027,43.1946873
"4482266891","5621",bus_stop,,76.90655,43.1980895
"4482281390","5621",bus_stop,,76.9067199,43.197151
"4482281689","5621",bus_stop,Базарчик,76.9044884,43.1947169
"4732040121","5621",bus_stop,11 ықшам ауданы,76.8722426,43.2198861
"4780916284","5621",bus_stop,Чимбулакская,76.9709146,43.2383132
"4783669332","5621",bus_stop,Казахфильм,76.9086186,43.2007606
"4783677585","5622",bus_station,Арман,76.8978469,43.1958332
"4873641943","5621",bus_stop,Плотина,76.9031202,43.1355086
"4887885631","5621",bus_stop,Шашкина,76.9353197,43.2221624
"4887888139","5621",bus_stop,Шашкина,76.9339379,43.2217604
"4887891239","5621",bus_stop,Маркова,76.9391938,43.2247352
"4887893282","5621",bus_stop,Рамстор,76.9497422,43.2311392
"4887893283","5621",bus_stop,Рамстор,76.9500048,43.2306831
"5199458463","5641",taxi,,76.9572075,43.2342312
"5205430682","5621",bus_stop,,76.9609012,43.2276564
"5217357830","5621",bus_stop,,76.9333333,43.2143845
"5285159347","5641",taxi,Такси Максим,76.885646,43.2378525
"5328449721","5621",bus_stop,Дом отдыха,76.9814813,43.2000182
"5328460872","5621",bus_stop,,76.98147,43.2004042
"5742507921","5621",bus_stop,"12",76.966996,43.2113079
"6109103021","5621",bus_stop,428~429,76.8961102,43.2309181
"6578120185","5622",bus_station,,76.9759437,43.2335109
"6598019016","5621",bus_stop,,76.9504137,43.2338939
"6684748685","5621",bus_stop,Мкр. Коктем1,76.9297175,43.2280065
"6774399914","5621",bus_stop,Розыбакиева,76.8926334,43.2285297
"6853133727","5621",bus_stop,Мкр. Самал-3 (Хаджи Мукана),76.9583767,43.225294
"7496337291","5621",bus_stop,,76.9103407,43.1534619
"7634159385","5621",bus_stop,14 . 39,76.8644111,43.1401806
"7637528831","5621",bus_stop,Мкр. Орбита 4,76.8811311,43.1967902
"7637528832","5621",bus_stop,,76.8815349,43.1964103
"7637528833","5621",bus_stop,,76.8809466,43.1949405
"7637528834","5621",bus_stop,,76.8720137,43.1968787
"7637528835","5621",bus_stop,,76.8725113,43.1970895
"7637528836","5621",bus_stop,,76.8707011,43.1974121
"7638308443","5621",bus_stop,"Центр делового сотрудничества ""Атакент""",76.9045061,43.2258221
"7638308444","5621",bus_stop,"Центр делового сотрудничества ""Атакент""",76.9039125,43.2256538
"7638370232","5621",bus_stop,,76.8661497,43.1760585
"7638370233","5621",bus_stop,,76.8716004,43.1765184
"7638370234","5621",bus_stop,,76.8718179,43.1763757
"7638370235","5621",bus_stop,,76.8703537,43.1801972
"7638370236","5621",bus_stop,,76.8705059,43.1802818
"7638370237","5621",bus_stop,,76.8686785,43.1827341
"7638370238","5621",bus_stop,,76.8686867,43.1829914
"7638370239","5621",bus_stop,,76.8662081,43.1867197
"7638370240","5621",bus_stop,,76.8664656,43.1866098
"7638370242","5621",bus_stop,,76.8653225,43.1958381
"7638370243","5621",bus_stop,,76.865711,43.1957891
"7638508283","5621",bus_stop,,76.8780961,43.2053991
"7638619925","5621",bus_stop,Аптека,76.8857525,43.202187
"7638619926","5621",bus_stop,,76.887195,43.1980942
"7638674740","5621",bus_stop,Мкр. Орбита1,76.8797211,43.2014608
"7640758913","5621",bus_stop,,76.8876283,43.1960819
"7640758914","5621",bus_stop,Аль-Фараби/Розыбакиева,76.8969474,43.1960989
"7657490171","5621",bus_stop,,76.8878039,43.2156991
"7657499951","5621",bus_stop,Ул. Саина  (мкр. Орбита 3),76.8703144,43.2008245
"7657502599","5621",bus_stop,,76.8889025,43.2091546
"7657520270","5621",bus_stop,Ботанический сад,76.9141207,43.2263803
"7657523804","5621",bus_stop,Ул Пятницкого,76.8781343,43.2131565
"7657524157","5621",bus_stop,,76.8748666,43.2016986
"7657527626","5621",bus_stop,Ул. Утепова,76.8970416,43.2200389
"7657544397","5621",bus_stop,,76.8894124,43.2065047
"7657547738","5621",bus_stop,ЖК Шахристан,76.8869793,43.2039684
"7657551614","5621",bus_stop,,76.8883561,43.2124284
"7657552306","5621",bus_stop,,76.8753876,43.2017014
"7657553243","5621",bus_stop,,76.9097415,43.2305713
"7657557492","5621",bus_stop,,76.8781989,43.2023714
"7657557933","5621",bus_stop,,76.884101,43.2034879
"7657559694","5621",bus_stop,,76.8937472,43.2187089
"7865680685","5621",bus_stop,Аялдама,76.8742753,43.2096777
"8435139487","5621",bus_stop,,76.8791277,43.194472
"8435139488","5621",bus_stop,,76.874551,43.2182842
"8435139489","5621",bus_stop,,76.8664444,43.2236662
"8435139495","5621",bus_stop,,76.865331,43.2156834
"8795013335","5621",bus_stop,,76.8886748,43.2101257
"8798333545","5621",bus_stop,,76.930341,43.2374705
"8798350589","5621",bus_stop,,76.881445,43.2152621
"8798958315","5621",bus_stop,,76.8806754,43.2187056
"8798959937","5621",bus_stop,,76.884103,43.2071548
"8798960215","5621",bus_stop,,76.8828976,43.2105838
"8805594817","5621",bus_stop,,76.9665439,43.1684537
"8805758802","5621",bus_stop,,76.8681188,43.2229143
"8805758877","5621",bus_stop,,76.8847061,43.2379538
"8805763119","5621",bus_stop,,76.8653676,43.2157182
"8959626231","5621",bus_stop,Ул. Мынбаева,76.899726,43.2361409
"8973640745","5621",bus_stop,РФМШ,76.918472,43.2317423
"9025239316","5621",bus_stop,,76.8853524,43.2040829
"9695000718","5621",bus_stop,Өтеген батыр көшесі,76.8683257,43.2325797
"9738240851","5621",bus_stop,Байтурсынова,76.9334673,43.2305399
"9740765469","5621",bus_stop,Манаса Абая,76.9086259,43.2391684
"9791511408","5621",bus_stop,,76.9007028,43.2297753
"9791531875","5621",bus_stop,,76.9053919,43.2300712
"9791532884","5621",bus_stop,,76.9045188,43.2360506
"9791534452","5621",bus_stop,,76.8938037,43.207264
"9791534455","5621",bus_stop,,76.905115,43.2298209
"9791537764","5621",bus_stop,Драмтеатр им. Лермонтова,76.9455195,43.2424381
"9791544047","5621",bus_stop,Жандосова-Алтынсарина,76.8767087,43.217709
"9791545063","5621",bus_stop,Ботанический сад,76.9146056,43.2265094
"9791551103","5621",bus_stop,Алтынсарина,76.8780036,43.2187904
"9791552376","5621",bus_stop,Городок,76.8762605,43.2168177
"9791553322","5621",bus_stop,,76.8935572,43.2094252
"9791553323","5621",bus_stop,,76.9243738,43.2370438
"9791553326","5621",bus_stop,,76.8821219,43.2423739
"9791555372","5621",bus_stop,,76.866415,43.1759892
"9791555376","5621",bus_stop,,76.8828278,43.237582
"9791558093","5621",bus_stop,Ул Пятницкого,76.8778645,43.2130985
"9791558094","5621",bus_stop,,76.8784378,43.2098259
"9791558664","5621",bus_stop,,76.8732742,43.225544
"9791559137","5621",bus_stop,,76.8981542,43.2116508
"9791561210","5621",bus_stop,,76.8791454,43.2343761
"9791563892","5621",bus_stop,,76.8998783,43.2361541
"9791563893","5621",bus_stop,ЖК Симфония,76.8742608,43.2326633
"9791563894","5621",bus_stop,Мате Залки,76.8703054,43.2325637
"9791564265","5621",bus_stop,,76.8741011,43.2323487
"9804248868","5621",bus_stop,,76.8871837,43.1987264
"9812847383","5621",bus_stop,ул.Жолдасбекова,76.9504531,43.2337444
"9812847384","5621",bus_stop,Самал 1-й микрорайон,76.9515466,43.2340763
"9827041420","5621",bus_stop,Тимирязева\ Гагарина,76.8976392,43.2253327
"9827041703","5621",bus_stop,Тимирязева\ Гагарина,76.8976602,43.225233
"9899002045","5621",bus_stop,Центральный стадион,76.9243129,43.2370371
"9899207343","5621",bus_stop,Мкр. Коктем 1,76.9298156,43.2279297
"9922706113","5621",bus_stop,,76.9664827,43.2118273
"9922716068","5621",bus_stop,Мост,76.976508,43.2045858
"9933527702","5621",bus_stop,метро Байконур,76.9278125,43.2393738
"9933527703","5621",bus_stop,Дворец спорта,76.927329,43.2403102
"9939475982","5621",bus_stop,Байтұрсынұлы,76.9266027,43.241058
"9939490923","5621",bus_stop,Стадион,76.9216609,43.2407099
"9939594019","5621",bus_stop,,76.910572,43.2401669
"9939594020","5621",bus_stop,Ауэзова,76.9031805,43.2396744
"9939594021","5621",bus_stop,13 - ая линия,76.8937163,43.2390065
"9939594023","5621",bus_stop,Баумана,76.8824693,43.2379514
"9939594024","5621",bus_stop,Софья,76.8743634,43.2355821
"9939594025","5621",bus_stop,Мате Залки,76.8686462,43.2315863
"9945145004","5621",bus_stop,Березовая роща,76.9848537,43.1696826
"10011824617","5621",bus_stop,,76.9307844,43.2423857
"10023123659","5621",bus_stop,,76.9058175,43.2270566
"10188741914","5621",bus_stop,,76.8941568,43.2016518
"10188768493","5621",bus_stop,,76.8925551,43.2166691
"10188768712","5621",bus_stop,Ул. Басенова,76.8920008,43.2219626
"10188784372","5621",bus_stop,,76.9164227,43.2097242
"10188784383","5621",bus_stop,,76.8941182,43.2044241
"10188787014","5621",bus_stop,Ул. Римского-Корсакова,76.9268108,43.2351259
"10188787861","5621",bus_stop,,76.8918075,43.2219405
"10188788359","5621",bus_stop,Ул. Утепова,76.8923545,43.2192495
"10188802221","5621",bus_stop,,76.8930497,43.2124708
"10231255408","5621",bus_stop,,76.8644537,43.1919203
"10279705077","5621",bus_stop,,76.9571842,43.2420873
"10279716959","5621",bus_stop,Дворец школьников,76.957449,43.2374603
"10279729152","5621",bus_stop,Достык/Жолдасбекова,76.9591335,43.2330872
"10279730051","5621",bus_stop,Дворец школьников,76.9577855,43.2370861
"10281882656","5621",bus_stop,Назарбаева/Абая,76.9484412,43.2406776
"10566796801","5621",bus_stop,,76.9178037,43.2404789
"10577096526","5621",bus_stop,бульвар Мендикулова,76.954698,43.2285583
"10577096527","5621",bus_stop,бульвар Мендикулова,76.9547561,43.2282578
"10592639597","5621",bus_stop,Институт энергетики и связи,76.9315331,43.233472
"10624100402","5621",bus_stop,,76.9133456,43.2052246
"10697961891","5621",bus_stop,"211",76.9441462,43.1018212
"10720490448","5621",bus_stop,Армянская,76.9599772,43.2308461
"10725769780","5621",bus_stop,"28",76.9135146,43.1138219
"10725776438","5621",bus_stop,108Ш,76.905813,43.0915097
